上海视频,#genre#
上海新闻综合,https://cntv.lat/tv/live.php?auth=231110&id=shxwzh
上海新闻综合,http://php.jdshipin.com:8880/bst.php?id=shxwzh
上视新闻,https://live.goodiptv.club/api/bestv.php?id=xwzhhd8m/8000000
上视新闻,https://live.v1.mk/api/bestv.php?id=xwzhhd8m/8000000
上海都市,http://php.jdshipin.com:8880/bst.php?id=ylpdhd/4000000
上海都市,https://live.goodiptv.club/api/bestv.php?id=dshd8m/8000000
上海都市,https://cntv.lat/tv/live.php?auth=231110&id=shds
上海都市,http://php.jdshipin.com:8880/bst.php?id=dshd8m/8000000
上海都市,https://live.v1.mk/api/bestv.php?id=dshd8m/8000000
东方影视,http://php.jdshipin.com:8880/bst.php?id=dsjpdhd/4000000
东方影视,https://live.goodiptv.club/api/bestv.php?id=dfyshd8m/8000000
东方影视,http://php.jdshipin.com:8880/bst.php?id=dfys
东方影视,https://live.v1.mk/api/bestv.php?id=dfyshd8m/8000000
东方影视,http://php.jdshipin.com:8880/bst.php?id=dfyshd8m/8000000
东方卫视,http://114.246.174.75:4022/rtp/239.3.1.136:8032
东方卫视,http://219.147.3.106:4455/newlive/live/hls/23/live.m3u8
东方卫视,http://xxw.me0.cn/api/migu.php?id=20
东方卫视,http://59.55.34.159:20000/hls/83/index.m3u8
东方卫视,http://113.205.185.28:8089/newlive/live/hls/21/live.m3u8
东方卫视,http://111.75.151.236:50085/newlive/live/hls/23/live.m3u8
东方卫视,http://php.jdshipin.com:8880/bst.php?id=hddfws/4000000
五星体育,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000
五星体育,http://php.jdshipin.com:8880/bst.php?id=wxtyhd8m/8000000
五星体育,http://php.jdshipin.com:8880/bst.php?id=ssty/4000000
五星体育,https://live.goodiptv.club/api/bestv.php?id=wxtyhd8m/8000000
五星体育,http://api2.52tb.xyz/info?id=376&token=20230326xflvzc
五星体育,https://cntv.lat/tv/live.php?auth=231110&id=wxty
上海教育,http://php.jdshipin.com:8880/bst.php?id=setvhd/8000000
上海教育,https://live.goodiptv.club/api/bestv.php?id=setvhd/8000000
上海教育,https://cntv.lat/tv/live.php?auth=231110&id=shjy
上海教育,https://live.v1.mk/api/bestv.php?id=setvhd/8000000
上海教育,http://php.jdshipin.com:8880/bst.php?id=shjy

央视频道,#genre#
CCTV-1,http://123.10.79.164:808/hls/1/index.m3u8
CCTV-1,http://60.4.3.23:8888/rtp/239.253.92.83:8012
